T, time, time_on_pso, time_on_solver, status
2.875,0.107,0.071,0.036,0
2.525,0.104,0.070,0.034,0
2.569,0.099,0.070,0.029,0
2.035,0.104,0.073,0.031,0
2.475,0.158,0.071,0.087,-5
2.215,0.102,0.071,0.031,0
1.892,0.106,0.070,0.036,0
2.828,0.127,0.070,0.057,-5
2.058,0.105,0.071,0.034,0
2.548,0.102,0.071,0.031,0
2.494,0.096,0.070,0.026,0
2.539,0.316,0.070,0.246,-5
2.592,0.104,0.071,0.033,0
2.766,0.114,0.070,0.044,0
2.170,0.101,0.070,0.031,0
2.845,0.100,0.071,0.029,0
2.552,0.108,0.070,0.038,0
1.882,0.104,0.070,0.034,0
2.727,0.112,0.071,0.041,0
2.523,0.108,0.070,0.038,0
2.406,0.115,0.070,0.045,0
1.717,0.103,0.071,0.032,0
2.424,0.104,0.071,0.033,0
2.531,0.103,0.070,0.033,0
2.514,0.094,0.070,0.024,0
2.276,0.106,0.070,0.036,0
2.256,0.110,0.070,0.040,0
1.551,0.113,0.070,0.043,0
2.271,0.105,0.071,0.034,0
5.295,0.696,0.070,0.626,-5
3.149,0.113,0.071,0.042,0
4.954,0.716,0.071,0.645,-5
2.839,0.107,0.070,0.037,0
2.673,0.099,0.070,0.029,0
2.538,0.103,0.070,0.033,0
2.393,0.105,0.070,0.035,0
2.577,0.101,0.070,0.031,0
6.993,0.203,0.070,0.133,-5
2.202,0.106,0.069,0.037,0
2.469,0.112,0.071,0.041,0
2.647,0.109,0.069,0.040,0
2.890,0.125,0.069,0.056,-5
2.362,0.304,0.069,0.235,-5
2.980,0.145,0.069,0.076,-5
2.430,0.094,0.070,0.024,0
4.825,0.296,0.069,0.227,-5
2.612,0.271,0.070,0.201,0
1.779,0.100,0.069,0.031,0
2.688,0.108,0.070,0.038,0
2.124,0.099,0.069,0.030,0
2.847,0.098,0.069,0.029,0
2.183,0.105,0.069,0.036,0
1.894,0.102,0.070,0.032,0
2.345,0.100,0.071,0.029,0
2.192,0.106,0.070,0.036,0
2.917,0.709,0.070,0.639,-5
2.684,0.157,0.071,0.086,-5
2.888,0.099,0.071,0.028,0
2.515,0.102,0.070,0.032,0
1.688,0.117,0.070,0.047,0
2.494,0.100,0.071,0.029,0
2.564,0.130,0.070,0.060,-5
2.144,0.108,0.071,0.037,0
0.822,0.132,0.070,0.062,0
2.870,0.252,0.071,0.181,0
2.522,0.104,0.071,0.033,0
2.762,0.102,0.071,0.031,0
2.085,0.099,0.070,0.029,0
2.188,0.111,0.070,0.041,0
2.127,0.098,0.070,0.028,0
5.116,0.734,0.071,0.663,-5
2.464,0.112,0.071,0.041,0
2.735,0.105,0.071,0.034,0
2.627,0.104,0.070,0.034,0
2.118,0.097,0.070,0.027,0
2.739,0.110,0.070,0.040,0
2.558,0.097,0.070,0.027,0
1.910,0.097,0.070,0.027,0
2.308,0.275,0.070,0.205,-5
2.595,0.108,0.070,0.038,0
2.257,0.100,0.070,0.030,0
